Moleculas,Structure of Smiles [idcode],Smiles,Compound,Link,Total Molweight,Molweight,Monoisotopic Mass,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,LE from Moleculas,LLE from Moleculas,LELP from Moleculas,Mutagenic,Tumorigenic,Reproductive Effective,Irritant,Nasty Functions,Shape Index,Molecular Flexibility,Molecular Complexity,Fragments,Non-H Atoms,Non-C/H Atoms,Metal-Atoms,Electronegative Atoms,Stereo Centers,Rotatable Bonds,Rings Closures,Aromatic Atoms,sp3-Carbon Fraction,sp3-Atoms,Symmetric atoms,Small Rings,Carbo-Rings,Hetero-Rings,Saturated Rings,Non-Aromatic Rings,Aromatic Rings,Saturated Carbo-Rings,Non-Aromatic Carbo-Rings,Carbo-Aromatic Rings,Saturated Hetero-Rings,Non-Aromatic Hetero-Rings,Hetero-Aromatic Rings,Amides,Amines,Alkyl-Amines,Aromatic Amines,Aromatic Nitrogens,Basic Nitrogens,Acidic Oxygens,Stereo Configuration,Globularity SVD,Globularity Vol,VDW-Surface,VDW-Volume
1,fle`a@BAbBHeDYEEEDhXXeDqWdpPU@PL@@@,CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)O)Cl,Lig_COX2_5IKQ_Alig.pdb,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out1.smi.png,296.152,296.152,295.016.683,4.231,-5.023,3,2,211.68,17.763,49.33,-77.511,64.984,4.769,6.5109,none,none,high,none,,47.368,48.391,70.492,1,19,5,0,5,0,3,2,12,71.429,2,0,2,2,0,0,0,2,0,0,2,0,0,0,0,1,0,1,0,0,1,,41.709,76.505,260.34,264.19
2,eolPL@@@HJldRdTbttRTRv\VTTHDhxtB|JbrjjjZjjjjZjfjQBXQaBSQ^JJMQYPCP,CC(C)[C@H](C)/C=C/[C@@H](C)[C@H](CC1)[C@@](C)(CC=C2[C@@]3(C)CC[C@@H](C4)O)[C@H]1[C@]21OO[C@@]34C=C1,"+E4:F38(3Î²,5Î±,8Î±,22E,24S)-5,8-epidioxyergosta-6,9(11),22-trien-3-ol",https://lmwdatabase.s3.eu-north-1.amazonaws.com/out2.smi.png,426.638,426.638,426.313.395,6.2814,-5.725,3,1,322.82,10.253,38.69,-20.469,38.497,2.4176,16.317,none,high,none,none,peroxo,51.613,36.478,,1,31,3,0,3,9,4,5,0,78.571,25,1,6,4,2,3,6,0,2,4,0,1,2,0,0,0,0,0,0,0,0,this enantiomer,34.089,71.145,474.62,583.02
3,edZPL@@@CklbbdRebTJTfbqbRbJg@ae`TQSSUUUSUUUUSUUTpPaEyHdTnd@@,CC(C)CCC[C@@H](CC(O)=O)[C@@H](CC1)[C@@](C)(CC2)[C@]1(C)C(CC1)=C2[C@@](C)(CC2)[C@H]1C(C)(C)C2=O,3-Oxo-8-lanostan-21-oic-acid,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out3.smi.png,470.735,470.735,470.375.995,7.6075,-6.513,3,1,366.85,1.068,54.37,-50.411,34.389,91.538,22.122,none,none,low,none,,47.059,32.393,,1,34,3,0,3,6,7,4,0,87.097,28,2,4,4,0,2,4,0,2,4,0,0,0,0,0,0,0,0,0,0,1,this enantiomer,43.304,71.704,504.66,647.06
4,ee_PA@@@HJeglV^\dRdTfTtRTRvjbbrbTrbVaGE@f`WaTVWtMUUUUUUUUSUUUUMU^HSBTQaBSQ^RJMSj[Jy_PFPjCZ@,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H](CC1)[C@@](C)(CC[C@@H]2[C@@]3(C)CC[C@H](C4)O[C@H]([C@@H]([C@@H]5O)O)O[C@@H](CO)[C@H]5O)[C@H]1[C@@]21OO[C@@]34C=C1,"3Î²,5Î±,8Î±,22E)-5,8-epidioxyergosta-6,22-dien-3-yl Î²-D-glucopyranoside""",https://lmwdatabase.s3.eu-north-1.amazonaws.com/out4.smi.png,590.795,590.795,59.038.187,4.5488,-5.689,8,4,426.18,21.681,117.84,-65.962,27.431,3.8491,16.583,none,high,none,none,peroxo,0.5,32.084,,1,42,8,0,8,15,7,6,0,88.235,38,1,7,4,3,5,7,0,3,4,0,2,3,0,0,0,0,0,0,0,0,this enantiomer,48.121,66.368,612.31,770.04
5,ek`PH@@@LbbRfbTJTtRLVTThXTt\|brZZjjjjjfjjhQbBSQVKrQHiCJAj@,CC(C)[C@H](C)/C=C/[C@H](C)[C@@H](CC1)[C@](C)(CC2)[C@H]1[C@@H](CC1)[C@@H]2[C@](C)(CC2)C1=CC2=O,"(22E,24S)-Ergosta-4,22-dien-3-one",https://lmwdatabase.s3.eu-north-1.amazonaws.com/out5.smi.png,396.656,396.656,396.339.215,7.2923,-6.222,1,0,320.42,40.697,17.07,-10.256,39.269,1.1987,18.57,none,none,high,none,,55.172,30.827,,1,29,1,0,1,8,4,4,0,82.143,23,1,4,4,0,3,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,46.717,72.888,457.65,571.81
6,e`\PL@@@FDldTrdTtRTVRbibrbgDedWfQSUTuUUUUUTuUUJPHb\RRJRq^Hi]SZPSP,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@@H](CC1)[C@@](C)(CC[C@@H]2[C@@](C)(CC[C@@H](C3)O)[C@@]33O)[C@@H]1C2=C[C@H]3OC,"(22E)-3Î²,5Î±-dihydroxyergosta-7, 22-dien-6-one",https://lmwdatabase.s3.eu-north-1.amazonaws.com/out6.smi.png,444.697,444.697,444.360.345,5.901,-5.45,3,2,346.78,10.439,49.69,22.742,35.248,2.3208,16.741,none,none,none,none,,0.5,29.362,,1,32,3,0,3,10,5,4,0,86.207,28,1,4,4,0,3,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,44.133,70.812,498.8,623.89
7,e`\PL@@@FDldTrdTtRTVRbibrbgDedWfQSUTuUUUUUTuUUJPHb\RRJRq^Hi]SZPSP,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@@H](CC1)[C@@](C)(CC[C@@H]2[C@@](C)(CC[C@@H](C3)O)[C@@]33O)[C@@H]1C2=C[C@H]3OC,"(22E)-6Î²-methoxyergosta-7,22-diene-3Î²,5Î±-diol",https://lmwdatabase.s3.eu-north-1.amazonaws.com/out7.smi.png,444.697,444.697,444.360.345,5.901,-5.45,3,2,346.78,10.439,49.69,22.742,34.961,2.2539,16.879,none,none,none,none,,0.5,29.362,,1,32,3,0,3,10,5,4,0,86.207,28,1,4,4,0,3,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,41.141,7.126,495.53,623.61
8,fcA@@@YEDeLeLeMDcEeEJLdjs`ijh@JjjjZjbfPQdyAVYvPk@,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@@H](CC1)[C@@](C)(CC2)[C@H]1c1c2c(CC[C@@H](C2)O)c2cc1,"(22E)-19-norergosta-5,7,9,22-tetraen-3Î²-ol",https://lmwdatabase.s3.eu-north-1.amazonaws.com/out8.smi.png,380.614,380.614,380.307.915,7.3937,-6.224,1,1,308.64,42.444,20.23,-16.216,39.671,70.321,18.637,none,none,none,none,,57.143,28.859,,1,28,1,0,1,6,4,4,6,7.037,20,1,4,4,0,1,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,this enantiomer,32.158,69.679,453.97,528.63
9,e`\PB@@@BK@lbbdVdRTVTqbqbrbg@fgdVQSSUUUUUUUTuUUJHJb\HQZHrQHi]SZPSP,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@@H](CC1)[C@@](C)(CC2)[C@@H]1[C@H](CC([C@@](C1)([C@]3(C)CC[C@@H]1O)O)=O)[C@@]23O,"(22E)-3Î²,5Î±,9Î±-trihydroxyergosta-7,22-dien-6-one",https://lmwdatabase.s3.eu-north-1.amazonaws.com/out9.smi.png,446.669,446.669,44.633.961,4.8979,-5.187,4,3,335.58,15.597,77.76,42.767,34.493,3.1479,14.2,none,none,none,none,,0.5,29.198,,1,32,4,0,4,10,4,4,0,89.286,28,1,4,4,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,32.152,72.062,482.13,608.66
10,eolPL@@@EGLdTRdRbVrLrftVTT`PXtdlBRrJjjjjjfjjZjfjRBHSBTJQIHiMQZPCP,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@@H]1[C@@](C)(CCC([C@@](C)(CC[C@@H](C2)O)[C@]22O[C@@H]22)=C3[C@H]2O)C3=CC1,"(22E)-5Î±,6Î±-epoxyergosta-8,14,22-triene-3Î²,7Î²-diol",https://lmwdatabase.s3.eu-north-1.amazonaws.com/out10.smi.png,426.638,426.638,426.313.395,5.2418,-5.104,3,2,325.33,13.479,52.99,-51.128,35.403,2.7582,14.806,high,none,low,none,oxiran/aziridine,51.613,31.369,,1,31,3,0,3,9,4,5,0,78.571,25,1,6,4,2,2,6,0,1,4,0,1,2,0,0,0,0,0,0,0,0,this enantiomer,32.273,71.191,474.78,583.95
